Prof_Course		The instructor provided clearly defined expectations.	The instructor used teaching methods that facilitated my learning.	"The instructor encouraged me to take a role in my own learning, to ask questions, and to participate."	The instructor was well prepared to teach.	The instructor was available outside of class either electronically or in person.	The instructor is one whom I would recommend to other students.
	N	9	9	9	9	9	9
"Christie,Thomas:COMM-5305-001-COMMUNICATION RESEARCH METHODS"	Mean	4.5714	4.3571	4.3571	4.7143	4.8462	4.7143
	N	14	14	14	14	13	14
"Christie,Thomas:PREL-4316-001-PUBLIC RELATIONS CAMPAIGNS"	Mean	4.5333	4.6	4.6667	4.8	4.8	4.5
	N	15	15	15	15	15	14
"Chrzanowski,Thomas:BIOL-4345-001-MICROBIAL PHYSIOLOGY"	Mean	4.5385	4.5385	4.6923	4.8462	4.8462	4.3846
	N	13	13	13	13	13	13
"Chrzanowski,Thomas:BIOL-5346-001-MICROBIAL PHYSIOLOGY"	Mean	4	4	4.25	4.5	4	3.75
	N	4	4	4	4	4	4
"Chudoba,Bernd:MAE-4350-001-AEROSPACE VEHICLE DESIGN I"	Mean	3.5937	3.3333	4.2121	4.303	4.1818	3.4242
	N	32	33	33	33	33	33
"Chuong,Cheng-Jen:BE-5337-002-TRANSPORT PHENOMENA IN BME"	Mean	3.6	3.4	4	4	4.2	3.8
	N	5	5	5	5	5	5
"Cipher,Daisha:NURS-6390-016-TOPICS IN NURSING"	Mean	4.75	4.625	4.5	4.875	4.875	4.75
	N	8	8	8	8	8	8
"Cipher,Daisha:NURS-6390-116-TOPICS IN NURSING"	Mean	4.4286	4.2857	4.4286	4.5714	4.5714	4.4286
	N	7	7	7	7	7	7
"Clanton,Carson:MATH-2425-004-CALCULUS II"	Mean	4.7333	4.5333	4.4667	4.8667	4.6667	4.8667
	N	15	15	15	15	15	15
"Clark,Andrew:BCMN-3340-001-ELECTRONIC NEWS"	Mean	4.4286	4.6429	4.7143	4.5714	4.4286	4.6429
	N	14	14	14	14	14	14
"Clark,Andrew:BCMN-4350-001-TELEVISION REPORTING II"	Mean	4.3333	4.6667	4.8333	4.6	4.5	4.6667
	N	6	6	6	5	6	6
"Clark,Cynthia:HIST-1312-001-HISTORY OF U.S."	Mean	4.6824	4.5476	4.5176	4.8072	4.4	4.7529
	N	85	84	85	83	85	85
"Clark,Cynthia:HIST-1312-002-HISTORY OF U.S."	Mean	4.641	4.55	4.3718	4.7778	4.5062	4.725
	N	78	80	78	81	81	80
"Clark,Cynthia:HIST-1312-003-HISTORY OF U.S."	Mean	4.6	4.5507	4.4928	4.7143	4.5694	4.7429
	N	70	69	69	70	72	70
"Clark,Cynthia:HIST-1312-004-HISTORY OF U.S."	Mean	4.4902	4.3922	4.3	4.5354	4.2475	4.5152
	N	102	102	100	99	101	99
"Clark,Stephanie:ART-2304-003-DIGITAL DESIGN"	Mean	3.4	2.8	3.9333	3.2	4	3.0667
	N	15	15	15	15	15	15
"Clark,Stephanie:ART-2304-005-DIGITAL DESIGN"	Mean	3.9231	4	4.2308	4.1538	4.3077	4.2308
	N	13	13	13	13	13	13
"Cleary,Donna:NURS-3561-001-NURSING OF ADULTS"	Mean	4.5455	4.4091	4.6818	4.5455	4.4545	4.381
	N	22	22	22	22	22	21
"Cleary,Donna:NURS-3561-002-NURSING OF ADULTS"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Cleary,Donna:NURS-3561-003-NURSING OF ADULTS"	Mean	4.5	4	4.5	4	4.5	4
	N	2	2	2	2	2	2
"Cleary,Donna:NURS-3561-004-NURSING OF ADULTS"	Mean	4.75	4.75	4.5	4.75	4.25	4.75
	N	4	4	4	4	4	4
"Cleary,Donna:NURS-3561-600-NURSING OF ADULTS"	Mean	3.375	3.0625	3	3.1875	2.9375	2.75
	N	16	16	16	16	16	16
"Cleary,Donna:NURS-3561-601-NURSING OF ADULTS"	Mean	3.4211	3.3158	3.8421	3.2632	3.2632	3.0526
	N	19	19	19	19	19	19
"Cleary,Donna:NURS-3632-014-CLINICAL NURSING FOUNDATIONS"	Mean	3.5	2.5	2.5	2.5	3.5	2.5
	N	2	2	2	2	2	2
"Cleghorn,Naomi:ANTH-2307-001-BIOLOGICAL ANTHROPOLOGY"	Mean	4.3462	4.0385	4.3462	4.4231	4.6923	4.44
	N	26	26	26	26	26	25
"Cleghorn,Naomi:ANTH-4406-001-HUMAN OSTEOLOGY"	Mean	4.3	4.1	4.4	4.8	4.8	4.3
	N	10	10	10	10	10	10
"Cleghorn,Naomi:ANTH-5392-012-CONF COURSE IN ANTHROPOLOGY"	Mean	4	3	5	3	5	5
	N	1	1	1	1	1	1
"Cleghorn,Naomi:ANTH-5406-001-HUMAN OSTEOLOGY"	Mean	4	4.3333	4.6667	4.6667	5	4.3333
	N	3	3	3	3	3	3
"Cleland,John:BIOL-3355-001-TOXICOLOGY"	Mean	4.2623	4.0667	4.1148	4.4746	4.0667	4.2459
	N	61	60	61	59	60	61
"Cleland,John:EVSE-5320-001-TOXICOLOGY (2108-81844)"	Mean	4.8	4.8	4.6	5	4.8	4.8
	N	5	5	5	5	5	5
"Clerk-Brown,Sandra:URPA-5348-001-COST BENEFIT ANALYSIS"	Mean	3.7692	3.2308	4.1538	3.7692	4.2308	3.6154
	N	13	13	13	13	13	13
"Clive,Mark:ART-4361-001-3-D ANIMATION"	Mean	4.375	4.2222	4.5	4.5	4.4444	4.5556
	N	8	9	8	8	9	9
"Clive,Mark:ART-4367-001-TWO DIMENSIONAL ANIMATION"	Mean	4.5	4.2727	4.4	4.2727	4.4545	4.3636
	N	10	11	10	11	11	11
"Clive,Mark:ART-4397-001-SPECIAL STUDIES FILM/VIDEO"	Mean	4.8182	4.8182	4.9091	4.8182	4.7273	5
	N	11	11	11	11	11	9
"Clough,Tracey:ENGL-1301-078-EXPOS WRITING"	Mean	3.8462	3.6154	4.25	4.2308	4.3077	3.2308
	N	13	13	12	13	13	13
"Cochrum,Alan:ENGL-1301-013-EXPOS WRITING"	Mean	4.0625	3.6875	3.9375	4.1875	4.375	3.3125
	N	16	16	16	16	16	16
"Cochrum,Alan:ENGL-1301-029-EXPOS WRITING"	Mean	4	3.65	3.7368	4.15	4.2105	3.45
	N	19	20	19	20	19	20
"Coggin,Bruce:ENGL-2329-011-AMERICAN LIT"	Mean	4.6071	4.2857	4.4286	4.5	4.0357	4.3929
	N	28	28	28	28	28	28
"Coggin,Bruce:ENGL-2329-012-AMERICAN LIT"	Mean	4.5	4.3438	4.4688	4.7813	4.4063	4.625
	N	32	32	32	32	32	32
"Cole,Richard:URPA-5309-001-INTERGOVERNMENTAL RELATIONS"	Mean	4.0667	3.8667	3.6667	4.0714	3.9286	3.8571
	N	15	15	15	14	14	14
"Cole,Stephanie:HIST-5321-001-SEMINAR 19TH CENTURY US HIST"	Mean	4.8571	5	4.5714	5	5	5
	N	7	7	7	7	7	7
"Coleman,Gary:MAE-2360-005-NUMERICAL ANALYSIS/PROGRAMMING"	Mean	4	3.8333	4	3.7778	4.1111	3.7222
	N	18	18	18	18	18	18
"Collins,Denise:ECED-4311-003-MATH & SCI FOR EC-6"	Mean	4.6061	4.5588	4.5882	4.6471	4.5588	4.6471
	N	33	34	34	34	34	34
"Collins,Denise:ECED-4311-005-MATH & SCI FOR EC-6"	Mean	4.697	4.7576	4.7879	4.7879	4.8182	4.9063
	N	33	33	33	33	33	32
"Collins,Denise:ECED-4317-001-GROWTH, DEVEL & LRNG THEORY"	Mean	4.7111	4.7333	4.7556	4.8444	4.7045	4.8444
	N	45	45	45	45	44	45
"Collins,Denise:ECED-4317-002-GROWTH, DEVEL & LRNG THEORY"	Mean	4.6047	4.6977	4.6279	4.7209	4.5116	4.7805
	N	43	43	43	43	43	41
"Collins,Denise:ECED-5319-001-EC-6 INSTRUCTIONAL STRATEGY I"	Mean	2.6667	3.1667	3.6667	2.5833	3.8696	2.875
	N	24	24	24	24	23	24
"Collom,Chad:NURS-5303-005-PSYCHIATRIC MANAGEMENT"	Mean	4.5	4.5	4.5	5	5	5
	N	2	2	2	2	2	2
"Collom,Chad:NURS-5303-006-PSYCHIATRIC MANAGEMENT"	Mean	5	4.75	5	5	5	5
	N	4	4	4	4	4	4
"Combrink,Keith:CHEM-2321-004-ORGANIC CHEMISTRY"	Mean	4.1538	3.8462	4.3077	4.0769	4.1667	3.7692
	N	13	13	13	13	12	13
"Cook,Christi:ENGL-1301-046-EXPOS WRITING"	Mean	4.5625	4.5	4.5	4.875	5	4.3125
	N	16	16	16	16	16	16
"Cook,Christi:ENGL-1301-056-EXPOS WRITING"	Mean	3.7059	3.6471	4.1765	4	4.3529	3.1176
	N	17	17	17	17	17	17
"Cope,Lynn:NURS-1335-006-INTRO TO PROFESSIONAL NURSING"	Mean	4.619	4.5714	4.7143	4.7619	4.8095	4.8095
	N	21	21	21	21	21	21
"Cope,Lynn:NURS-1335-010-INTRO TO PROFESSIONAL NURSING"	Mean	4.2	4	4.2667	4.2667	4.0667	4
	N	15	15	15	15	15	15
"Cordero-Epperson,Minerva:HONR-SC-1426-001-HONORS CALCULUS I"	Mean	4.9286	4.7857	4.9231	4.8571	4.7143	4.7857
	N	14	14	13	14	14	14
"Cordero-Epperson,Minerva:MATH-1426-007-CALCULUS I"	Mean	4.25	4.25	4.5	5	4.5	4.5
	N	4	4	4	4	4	4
"Corley,Herbert:IE-3315-001-OPERATIONS RESEARCH I"	Mean	4.2857	4.1429	4	4.4286	4.1429	4
	N	7	7	7	7	7	7
"Corley,Herbert:IE-4315-001-OPERATIONS RESEARCH II"	Mean	4.28	3.9583	4.12	4.24	4.32	4.125
	N	25	24	25	25	25	24
"Corley,Herbert:IE-5311-001-DECISION ANALYSIS"	Mean	4.375	4.5	4.5	4.625	4.4286	4.75
	N	8	8	8	8	7	8
"Corley,Herbert:IE-5311-002-DECISION ANALYSIS"	Mean	4	4	3	4	3	4
	N	2	2	2	2	2	2
"Corley,Herbert:IE-5311-003-DECISION ANALYSIS"	Mean	5	4	5	5	5	5
	N	1	1	1	1	1	1
"Courtney,Maureen:NURS-5305-001-ADULT MGMT ADV NURS PRAC I"	Mean	3.4839	2.9677	3.7742	3.9	3.7419	3.0645
	N	31	31	31	30	31	31
"Courtney,Maureen:NURS-5305-002-ADULT MGMT ADV NURS PRAC I"	Mean	4.5	3.75	4.5	4.25	4.5	4.25
	N	4	4	4	4	4	4
"Courtney,Maureen:NURS-6326-001-CLINICAL RESEARCH PROJECT"	Mean	4.4	4.6	5	4.8	4.6	5
	N	5	5	5	5	5	5
"Crane,Jamey:POLS-2311-700-GOVT OF U S"	Mean	4.4	4.2	3.7	4.4	3.9	4
	N	10	10	10	10	10	10
"Crane,Jamey:POLS-2311-701-GOVT OF U S"	Mean	3.75	3.75	3.875	3.875	3.875	3.5714
	N	8	8	8	8	8	7
"Crane,Jamey:POLS-2311-702-GOVT OF U S"	Mean	4.6842	4.4211	4	4.2105	3.8235	4.1053
	N	19	19	19	19	17	19
"Crenshaw,Jeannette:NURS-5311-001-NURSING MGMT IN HEALTH CARE"	Mean	4.1667	4.6667	5	4.6667	4.8333	4.8333
	N	6	6	6	6	6	6
"Crenshaw,Jeannette:NURS-5339-003-ROLES/ FUNCTIONS NURS ADMINS"	Mean	4.5	4.5	4.5	4.5	4.5	4.5
	N	2	2	2	2	2	2
"Crenshaw,Jeannette:NURS-5339-004-ROLES/ FUNCTIONS NURS ADMINS"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Crenshaw,Jeannette:NURS-5342-004-MNGMNT OF NURSING OPERATIONS"	Mean	4.5	4.5	4.5	4.5	4.5	4.5
	N	2	2	2	2	2	2
"Crenshaw,Jeannette:NURS-5343-400-LEADERSHIP & HEALTH CARE SYS"	Mean	5	4.8333	5	5	4.8333	4.6667
	N	6	6	6	6	6	6
"Cross,Larry:EDUC-4647-001-SECONDRY RESIDENCY - TECH APPS"	Mean	4.6087	4.4783	4.5217	4.6522	4.6087	4.5909
	N	23	23	23	23	23	22
"Cross,Ted:NURS-4462-008-COMMUNITY HEALTH NURSING"	Mean	2	3	4	3	4	3
	N	1	1	1	1	1	1
"Crow,Mary:ECED-4317-004-GROWTH, DEVEL & LRNG THEORY"	Mean	4.6739	4.7174	4.7826	4.8696	4.6739	4.8
	N	46	46	46	46	46	45
"Crow,Mary:EDUC-5309-001-ADV INSTRUCTIONAL STRATEGIES"	Mean	5	5	5	5	5	5
	N	14	14	14	14	14	14
"Crow,Rebecca:HEED-3305-002-WOMEN'S HEALTH ISSUES"	Mean	4.5185	4.4815	4.5926	4.5926	4.6296	4.5926
	N	27	27	27	27	27	27
"Crow,Rebecca:HEED-3305-003-WOMEN'S HEALTH ISSUES"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Crow,Rebecca:KINE-3302-001-BEHAVIORAL DYNAMICS OF SPORT"	Mean	4.5769	4.5185	4.7037	4.6667	4.7037	4.6667
	N	26	27	27	27	27	27
"Crowder,William:ECON-3312-001-MACROECONOMICS"	Mean	4.6957	4.5652	4.5652	4.8261	4.5217	4.7391
	N	23	23	23	23	23	23
"Crowder,William:ECON-5319-001-THE GLOBAL ECONOMY"	Mean	4.1765	4.2353	4.1765	4.4118	4.3529	4.2353
	N	17	17	17	17	17	17
"Crowell,Gwinnetta:HIST-1311-700-HISTORY OF U.S."	Mean	3.8	4	4	4	4	4
	N	5	5	5	5	5	5
"Csallner,Christoph:CSE-5324-001-SFWR ENG I ANLY, DSGN, TESTING"	Mean	3.8485	3.7647	4.3235	4.1176	4.4118	4.1176
	N	33	34	34	34	34	34
"Dailey,Richard:MARK-3321-001-PRINCIPLES OF MARKETING"	Mean	3.5833	3.1667	3.5833	3.3611	3.8889	3.1143
	N	36	36	36	36	36	35
"Dailey,Richard:MARK-3321-006-PRINCIPLES OF MARKETING"	Mean	3.4	2.8	3.48	3.96	3.88	2.5833
	N	25	25	25	25	25	24
"Dailey,Richard:MARK-3321-008-PRINCIPLES OF MARKETING"	Mean	3.4444	2.7222	3.4444	3.7778	4.1111	2.1667
	N	18	18	18	18	18	18
"Dailey,Richard:MARK-3321-009-PRINCIPLES OF MARKETING"	Mean	4.25	4	4.75	4.25	4.75	3.5
	N	4	4	4	4	4	4
"Daniel,Kathryn:NURS-5328-400-THEORY & RSRCH APPL IN NURSING"	Mean	4	4.75	4.25	4.25	4	4
	N	4	4	4	4	4	4
"Daniel,Kathryn:NURS-5380-004-INDEPENDENT STUDY IN RESEARCH"	Mean	5	5	5	5	5	5
	N	2	2	2	2	2	2
"Dannis,Vincent:ENGL-1302-013-CRITICAL THINK, READ, WRITE"	Mean	4.3	4.2	4.3	4.6	4.2222	4.2
	N	10	10	10	10	9	10
"Dannis,Vincent:ENGL-1302-016-CRITICAL THINK, READ, WRITE"	Mean	4.3636	4.2727	4.2727	4.2727	4.0909	4.0909
	N	11	11	11	11	11	11
"Darrouzet,Daniel:CE-3110-001-CIVIL ENGR COMMUNICATIONS"	Mean	3.7368	3.8421	3.9474	3.9474	3.8889	3.7895
	N	19	19	19	19	18	19
"Darrouzet,Daniel:CE-4301-001-CONSTRUCTION JOB COST CONTROL"	Mean	4	3	5	4	3	3
	N	1	1	1	1	1	1
"Darrouzet,Daniel:CE-5377-001-CONST PROJ MGMT/JOB COSTING"	Mean	4.2917	3.96	4.24	4.4167	4.2	4.125
	N	24	25	25	24	25	24
"Das,Gautam:CSE-5311-002-DSGN & ANLY ALGORITHMS"	Mean	4.2069	4.3103	4.4643	4.7586	3.9655	4.6552
	N	29	29	28	29	29	29
"Das,Gautam:CSE-6339-001-SPEC TOPS ADV DATABASE SYS"	Mean	4.3125	4.3333	4.5625	4.5333	4.3333	4.6
	N	16	15	16	15	15	15
"Datta,Deepak:MANA-5331-001- MANAGEMENT OF MULTINATIONAL ENTERPRISES"	Mean	4.4839	4.2903	4.4	4.6774	4.4839	4.5806
	N	31	31	30	31	31	31
"Datta,Deepak:MANA-5336-007-STRATEGIC MANAGEMENT"	Mean	3.6522	3.7727	4.1739	4.0435	4	4.0435
	N	23	22	23	23	23	23
"Datta,Deepak:MANA-6328-001-SEMINAR IN BUSINESS POLICY"	Mean	4.375	4.125	4.75	4.75	4.875	4.875
	N	8	8	8	8	8	8
"Dave,Digant:BE-5300-007-SEL TOPICS IN BIOENGINEERING"	Mean	3.5	3.3	4.2	3.6	3.8	3.2
	N	10	10	10	10	10	10
"Davis-Secord,Jonathan:ENGL-3351-001-HIST BRIT LIT I (2108-80762)"	Mean	4.45	4.25	4.8	4.7	4.6	4.45
	N	20	20	20	20	20	20
"Davis-Secord,Jonathan:ENGL-3351-002-HIST BRIT LIT I"	Mean	4.3889	4.2778	4.5	4.6667	4.3333	4.5556
	N	18	18	18	18	18	18
"Davis-Secord,Sarah:HIST-3376-001-MEDIEVAL EUROPE I"	Mean	4.4839	4.3871	4.6129	4.7419	4.6129	4.5161
	N	31	31	31	31	31	31
"Davis-Secord,Sarah:HIST-5311-001-PRE-1800 EURO/LTN AM/AFRI HIST"	Mean	4.7273	4.7273	4.7273	4.7273	4.7273	4.8182
	N	11	11	11	11	11	11
"Davis,Carolyn:INSY-3300-002-OBJECT-ORIENTED PROGRAMMING"	Mean	3.7647	3.5294	3.5882	4.4118	4.2941	3.7647
	N	17	17	17	17	17	17
"Davis,Carolyn:INSY-4305-001-ADV APPLICATION DEVELOPMENT"	Mean	3.5588	3.2353	3.1176	3.9118	3.7576	3.3939
	N	34	34	34	34	33	33
"Davis,Carolyn:INSY-5309-001-OBJ ORI BUS PROG"	Mean	4.3333	4.1667	4.0833	4.5	4.6667	3.9167
	N	12	12	12	12	12	12
"Davis,Carolyn:INSY-5352-001-TOPICS IN OBJECT TECHNOLOGY"	Mean	3.6	3.6	4.2	4.2	4.2	3.8
	N	5	5	5	5	5	5
"Davis,Jaya:CRCJ-2335-002-CRIMINAL JUSTICE ETHICS"	Mean	4.4146	4.0244	4.0244	4.5122	4.5854	4.2927
	N	41	41	41	41	41	41
"Davis,Jaya:CRCJ-3350-002-INTRO RESEARCH METHODS"	Mean	4.3704	4.1852	4.4444	4.5556	4.5185	4.5926
	N	27	27	27	27	27	27
"Davis,Lynda:ENGL-1302-032-CRITICAL THINK, READ, WRITE"	Mean	4.4167	4.3333	4.4167	4.5833	4.6667	4.2727
	N	12	12	12	12	12	11
"Davis,Ronni:ENGL-1301-048-EXPOS WRITING"	Mean	4.6154	4.6923	4.7692	4.75	4.8462	4.6923
	N	13	13	13	12	13	13
"Davis,Ronni:ENGL-1301-052-EXPOS WRITING"	Mean	4.5625	4.5625	4.625	4.4667	4.8125	4.8125
	N	16	16	16	15	16	16
"Davis,Wendell:EE-5305-001-ADVANCED ELECTRONICS"	Mean	3.5	3.375	3.25	3.75	3.875	3.375
	N	8	8	8	8	8	8
"Davis,Wendell:EE-5347-001-MICROWAVE CIRCUITS"	Mean	4.5	4.5	4	5	5	5
	N	2	2	2	2	2	2
"Davoudi,Ali:EE-6375-001-POWER ELECTRONICS ENGINEERING"	Mean	4.6667	4.4444	4.6667	4.8889	4.7778	4.5556
	N	9	9	9	9	9	9
"Daza,Stephanie:EDUC-5310-001-DIVERSE POPUL TODAYS SCHOOLS"	Mean	1.9444	1.8889	2.5556	2.3333	1.8889	1.8889
	N	18	18	18	18	18	18
"Daza,Stephanie:EDUC-5310-002-DIVERSE POPUL TODAYS SCHOOLS"	Mean	2	2	5	2	2	2
	N	1	1	1	1	1	1
"Deal,Jeremy:CE-2331-001-ENGR MEASUREMENT/COMP MODELING"	Mean	4.8235	4.75	4.7059	4.8235	4.6471	4.7333
	N	17	16	17	17	17	15
"Dean,May:NURS-3561-012-NURSING OF ADULTS"	Mean	4.6667	4.6667	4.6667	4.6667	4.6667	4.6667
	N	3	3	3	3	3	3
"Dearman,Leslie:SOCI-1311-004-INTRO TO SOCIO"	Mean	4.4667	4.3559	4.45	4.5085	4.4746	4.5593
	N	60	59	60	59	59	59
"Del Carmen,Alejandro:CRCJ-4315-001-CRIM CAREERS"	Mean	2.5	2.9615	3	2.4615	2.36	2.6923
	N	26	26	26	26	25	26
"Del Carmen,Alejandro:CRCJ-5350-002-THEORETICAL CRIMINOLOGY"	Mean	4.8889	4.8889	5	5	5	5
	N	18	18	17	18	18	18
"Del Cid,Donald:ARCH-4314-001-HISTORIC PRESERV & RESTORATION"	Mean	4.4615	4.6429	4.8571	4.7857	4.7143	4.8462
	N	13	14	14	14	14	13
"Del Cid,Donald:ARCH-5395-009-TOPICS IN ARCHITECTURE"	Mean	4.6667	4.6667	4.6667	4.8333	4.8333	4.8333
	N	6	6	6	6	6	6
"Demhardt,Imre:HIST-6301-001-EXPLORATION & CARTOGRAPHY"	Mean	3.8462	3.5385	4.5385	4.5385	4.6923	3.8462
	N	13	13	13	13	13	13
"Demuth,Jeffery:BIOL-2343-001-EVOLUTION & ECOLOGY"	Mean	4.3415	4.061	4.1341	4.6867	4.494	4.4304
	N	82	82	82	83	83	79
"Denison,Judy:NURS-4455-201-RN-BSN NURSING MANAGEMENT"	Mean	4.2917	3.4783	4.2083	4	4.4167	3.8333
	N	24	23	24	24	24	24
"Dennis,Brian:AE-5327-001-COMPUTATIONAL AERODYNAMICS I"	Mean	4.5556	4.1111	4.6667	4.7778	4.5556	4.4444
	N	9	9	9	9	9	9
"Dennis,Torry:BIOL-3322-002-BRAIN AND BEHAVIOR"	Mean	4.3953	4.1136	4.2273	4.2045	4.3636	4.2955
	N	43	44	44	44	44	44
"Denson,Linda:EDUC-2101-001-EXPLORING TEACHING"	Mean	4.4	4.6	4.775	4.7	4.2	4.75
	N	40	40	40	40	40	40
"Denson,Linda:EDUC-4352-001-TEACHING DIVERSE POPULATIONS"	Mean	3.9245	4.1132	4.4444	4.3077	3.7692	4
	N	53	53	54	52	52	53
"Derisavifard,Farid:MATH-2326-004-CALCULUS III"	Mean	4.3333	4.4242	4.3636	4.2121	3.9688	4.2121
	N	33	33	33	33	32	33
"Desimone,Jeffrey:BSAD-6317-001- ECONOMETRICS"	Mean	4.2222	4.2222	4.2222	4.375	4.8889	4.375
	N	9	9	9	8	9	8
"Desimone,Jeffrey:ECON-5336-001- ECONOMETRICS"	Mean	3.8095	3.619	3.7619	3.9048	4.381	3.8095
	N	21	21	21	21	21	21
"Devarajan,Venkat:EE-3330-001-PROBABILITY AND RANDOM SIGNALS"	Mean	4.3333	4.5556	4.7778	4.7222	4.6667	4.7222
	N	18	18	18	18	18	18
"Devarajan,Venkat:EE-5302-001-RANDOM SIGNALS AND NOISE"	Mean	4.3333	4.2222	4.5556	4.4444	4.4444	4.5556
	N	9	9	9	9	9	9
"Devarajan,Venkat:EE-5302-003-RANDOM SIGNALS AND NOISE"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Devito,Jill:BIOL-1334-001-INTRODUCTION TO BIOLOGY II"	Mean	3.8654	3.7885	3.8846	4.3654	4.1961	3.6346
	N	52	52	52	52	51	52
"Devito,Jill:BIOL-1334-002-INTRODUCTION TO BIOLOGY II"	Mean	4.1111	4.1111	3.8889	4.6667	4.4444	3.5556
	N	9	9	9	9	9	9
"Devito,Jill:BIOL-2343-002-EVOLUTION & ECOLOGY"	Mean	4.1856	4.0918	4.0102	4.5408	4.2632	4.2632
	N	97	98	98	98	95	95
"DeWitte,Debra:ART-1301-002-ART APPRECIATION"	Mean	3.5556	3.2222	3.2222	3.3333	3.2778	3.5882
	N	18	18	18	18	18	17
"DeWitte,Debra:ART-1301-701-ART APPRECIATION"	Mean	4.6471	4.5882	4.5294	4.7059	4.4706	4.5882
	N	17	17	17	17	17	17
"Dihigo,Sharolyn:NURS-5331-015-ADV CLINICAL NURSING PRACTICUM"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Dihigo,Sharolyn:NURS-5332-015-ADV CLINICAL NURSING PRAC CERT"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Dihigo,Sharolyn:NURS-5442-001-PRIMARY CARE PEDIATRIC NURSING"	Mean	4.8333	5	5	4.8333	4.8333	5
	N	6	6	6	6	6	6
"Dihigo,Sharolyn:NURS-5442-002-PRIMARY CARE PEDIATRIC NURSING"	Mean	5	5	5	5	5	5
	N	2	2	2	2	2	2
"Dihigo,Sharolyn:NURS-5632-015-ADV CLINICAL NURSING PRAC CERT"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Dillman,Jefferson:HIST-4388-005-SEL TOP HIST"	Mean	4.75	4.75	4.75	4.75	4.75	4.75
	N	4	4	4	4	4	4
"Dillon,William:EE-1105-001-INTRO ELECTRICAL ENGINEERING"	Mean	4	3.8696	4	4.2609	3.6818	3.9545
	N	23	23	22	23	22	22
"Dillon,William:EE-2315-001-CIRCUIT ANALYSIS I"	Mean	4.6	4.5333	4.5667	4.7	4.2667	4.6333
	N	30	30	30	30	30	30
"Diltz,John:FINA-5350-001-MATHEMATICAL FINANCE"	Mean	4.45	4.05	4	4.6	4.55	4.2
	N	20	20	20	20	20	20
"Ding,Chris:CSE-5301-001-DATA ANALYSIS & MODELING TECHS"	Mean	3.7778	4	4	3.6111	4	4
	N	18	18	18	18	18	18
"Dobbs,Rhonda:CRCJ-5301-002-PROSEMINAR CRIMINOLOGY/CRM JUS"	Mean	4.4815	4.1111	4.5185	4.3333	4.3333	4.2222
	N	27	27	27	27	27	27
"Dogan,Atilla:AE-5302-001-ADVANCED FLIGHT MECHANICS"	Mean	3.8462	3.7692	4.0769	4.2308	4.3846	3.9231
	N	13	13	13	13	13	13
"Dogan,Atilla:MAE-2323-002-DYNAMICS"	Mean	4.3636	3.8182	4.6818	4.5	3.9545	4.2273
	N	22	22	22	22	22	22
"Dolezal,Benjamin:ART-3351-001-ILLUSTRATION"	Mean	4.75	4.8333	4.75	4.75	4.9167	4.8333
	N	12	12	12	12	12	12
"Donjuan,Carlos:ART-1307-001-DRAWING FUNDAMENTALS"	Mean	4.5333	4.7333	4.4667	4.8667	4.8	5
	N	15	15	15	15	15	15
"Donjuan,Carlos:ART-1307-003-DRAWING FUNDAMENTALS"	Mean	4.2857	4.3571	4.7143	4.5	4	4.7143
	N	14	14	14	14	14	14
"Donjuan,Carlos:ART-2371-001-PAINTING"	Mean	5	4.8182	4.8182	4.9091	4.9091	4.7273
	N	12	11	11	11	11	11
"Dowdy,John:BLAW-3311-003-LAW I"	Mean	4.3125	4.2	4.0625	4.6	3.9	4.5125
	N	80	80	80	80	80	80
"Dowdy,John:BLAW-3311-006-LAW I"	Mean	4.4118	4.3478	4.3478	4.6176	4.1449	4.5152
	N	68	69	69	68	69	66
"Dowdy,John:BLAW-3312-002-LAW II (2108-80258)"	Mean	4.2899	4.1304	4.1449	4.4928	3.9275	4.2464
	N	69	69	69	69	69	69
"Downs,Michael:HIST-1311-012-HISTORY OF U.S."	Mean	4.0333	3.9333	4	3.7	3.7	3.6667
	N	30	30	30	30	30	30
"Downs,Michael:HIST-1311-701-HISTORY OF U.S."	Mean	4.125	4.125	4.25	3.9583	4.1667	4.1667
	N	24	24	24	24	24	24
"Downs,Michael:HIST-1312-005-HISTORY OF U.S."	Mean	4.5517	4.4205	4.2045	4.5977	4.1494	4.5059
	N	87	88	88	87	87	85
"Downs,Michael:HIST-2301-001-HISTORY OF CIVILIZATION"	Mean	4.2553	4.4255	4.1111	4.1957	4.2553	4.1489
	N	47	47	45	46	47	47
"Dragan,Irinel:MATH-3304-001-LINEAR OPTIMIZATION APPS"	Mean	4.2727	4.2727	4.3636	4.8182	4.6	4.6364
	N	11	11	11	11	10	11
"Driessen,Klaus:GERM-1441-001-GERMAN LEVEL I"	Mean	4.6667	4.3333	4.8333	4.8333	5	5
	N	6	6	6	6	6	6
"Driessen,Klaus:GERM-1441-004-GERMAN LEVEL I"	Mean	4.8333	4.3333	5	4.8333	4.8333	4.8333
	N	6	6	6	6	6	6
