Prof_Course		The instructor provided clearly defined expectations.	The instructor used teaching methods that helped me learn.	"The instructor helped me take a role in my own learning, by encouraging questions or other forms of participation as appropriate to the course."	The instructor was well prepared to teach each of the course's units / modules.	The instructor was available for consultation either in person or online.	The instructor is one whom I would recommend to other students.
	N	5	5	5	5	5	5
"Frazier,Gregory:OPMA-3308-001 & OPMA-5363-001-OPERATIONS PLANNING & CONTROL (2132-1-0278)"	Mean	4.7273	4.4545	4.4545	4.5455	4.5455	4.5455
	N	11	11	11	11	11	11
"Frazier,Gregory:OPMA-5364-001-PROJECT MANAGEMENT"	Mean	4.25	3.5	3.75	3.75	4.3333	3.6667
	N	4	4	4	4	3	3
"Frazier,Sylvester:ENGL-1301-015-RHETORIC AND COMPOSITION I"	Mean	4.6667	4.6667	4.6667	4.6667	4.6667	5
	N	3	3	3	3	3	3
"Frederick,Lee:BIOL-1441-002-CELL MOL BIOL"	Mean	4.4865	4.1892	4.6757	4.8108	4.6389	4.3429
	N	37	37	37	37	36	35
"Frederick,Lee:BIOL-1441-004-CELL MOL BIOL"	Mean	4.6538	4.4615	4.5833	4.6538	4.44	4.4583
	N	26	26	24	26	25	24
"Frederick,Lee:BIOL-1442-001-STRUC & FUNC OF ORGANISMS"	Mean	4.4	4.2	4.2	5	4.6	4.4
	N	5	5	5	5	5	5
"Frederick,Lee:BIOL-2457-500-HUMAN ANATOMY & PHYSIOLOGY I"	Mean	4.75	4.5	4.75	4	4.75	4.75
	N	4	4	4	3	4	4
"Frederick,Lee:BIOL-2457-501-HUMAN ANATOMY & PHYSIOLOGY I"	Mean	5	5	4.5	5	5	5
	N	2	2	2	2	2	2
"Frederick,Lee:BIOL-2457-700-HUMAN ANATOMY & PHYSIOLOGY I"	Mean	4.4286	4.1429	3.8571	4.3333	4.1429	4.2857
	N	7	7	7	6	7	7
"Frederick,Lee:BIOL-2457-701-HUMAN ANATOMY & PHYSIOLOGY I"	Mean	4.3333	4.1667	4.1667	4	4.4	4.5
	N	6	6	6	6	5	6
"Frederick,Lee:BIOL-2458-500-HUMAN ANATOMY & PHYSIOLOGY II"	Mean	4.2	4.2	3.6	4.8	4.2	4.4
	N	5	5	5	5	5	5
"Frederick,Lee:BIOL-2458-501-HUMAN ANATOMY & PHYSIOLOGY II"	Mean	4.4	4.2	4	4.4	4	4.4
	N	5	5	5	5	5	5
"Frederick,Lee:BIOL-2458-700-HUMAN ANATOMY & PHYSIOLOGY II"	Mean	4	3	2.5	3	3	2.5
	N	2	2	2	2	2	2
"Frederick,Lee:BIOL-2458-701-HUMAN ANATOMY & PHYSIOLOGY II"	Mean	4.5	4.5	4.5	4	4.5	4.5
	N	2	2	2	1	2	2
"Freeman,Ericka:SOCW-2311-003-INTRO SOC WORK"	Mean	4.25	4	4.25	4.3333	4.5	4.5
	N	4	4	4	3	4	4
"Freeman,Ericka:SOCW-2313-002-SW PRACTICE I"	Mean	4.3333	4.4444	4.4444	4.5556	4.2222	4.5556
	N	9	9	9	9	9	9
"Freeman,Ericka:SOCW-3302-002-HUM BEHAV II"	Mean	4.5714	4.2857	4.5714	4.5714	4.5714	4.5714
	N	7	7	7	7	7	7
"Freeman,Ericka:SOCW-4252-001-SW FIELD II SEM"	Mean	4.9167	4.9167	4.9167	4.9167	4.75	4.8333
	N	12	12	12	12	12	12
"Freling,Traci:MARK-3324-004-BUYER BEHAVIOR"	Mean	4.3636	4.1818	4.1818	4.3636	4.6364	4.5455
	N	11	11	11	11	11	11
"Fuchs,Perry:BIOL / HEED / PSYC-3303-001-DRUGS AND BEHAVIOR (2132-1-0038)"	Mean	4.5	4.2778	4.2222	4.6481	4.4231	4.3585
	N	54	54	54	54	52	53
"Fuchs,Perry:BIOL / HEED / PSYC-3303-001-DRUGS AND BEHAVIOR (2132-ISW-0001)"	Mean	4.9091	4.9091	4.7273	4.9091	4.8	5
	N	11	11	11	11	10	11
"Fuchs,Perry:PSYC-6101-001-PROSEMINAR HEALTH PSYCHOLOGY"	Mean	4.3077	4.3077	4.5	4.0833	4.6923	4.5385
	N	13	13	12	12	13	13
"Furr,Deana:NURS-UL-3365-600-PHARMACOLOGY IN NURSING PRACTI"	Mean	4.3158	3.9474	4.2632	4.5882	4.4118	4.3158
	N	19	19	19	17	17	19
"Gagne,Jeffrey:PSYC-4410-001-ADV TOP IN DEVELOPMENTAL PSYC"	Mean	4.8125	4.5625	4.5625	4.75	4.6875	4.75
	N	16	16	16	16	16	16
"Gagne,Jeffrey:PSYC-6300-001-SEMINAR IN PSYCHOLOGY"	Mean	4.4	4.4	4.6	4.4	4.8	4.2222
	N	10	10	10	10	10	9
"Gaines,Richard:ENGL-0300-002-INTRO TO READING & WRITING"	Mean	4.5	4	4.5	4	5	4.5
	N	2	2	2	2	1	2
"Gaines,Richard:ENGL-0300-003-INTRO TO READING & WRITING"	Mean	3	3	3	3	3	3
	N	1	1	1	1	1	1
"Gale,Nathan:ENGL-1301-032-RHETORIC AND COMPOSITION I"	Mean	4.6667	4	4.6667	4.6667	4.6667	4.3333
	N	3	3	3	3	3	3
"Galloway,Diane:EDUC-5395-105-DESIGNING CLASSROOM RESEARCH"	Mean	5	4	5	5	5	5
	N	1	1	1	1	1	1
"Galloway,Diane:EDUC-5397-205-IMPLMNT/DISEMINAT CLSRM RSRCH"	Mean	5	4	5	5	3	4
	N	1	1	1	1	1	1
"Gann,Michael:CRCJ-3300-003-THEORETICAL CR"	Mean	4.641	4.5385	4.7179	4.6923	4.4211	4.641
	N	39	39	39	39	38	39
"Gao,Jean:CSE-2315-003-DISCRETE STRUCTURES"	Mean	4.3333	3.3333	4.1667	3.6667	4.4	3
	N	6	6	6	6	5	6
"Gao,Jean:CSE-5367-001-PATTERN RECOGNITION"	Mean	4	3.6667	3.3333	4	4	3.6667
	N	3	3	3	3	3	3
"Gao,Zhiye:GEOL-1426-011-EARTH HISTORY"	Mean	3.75	3	3.25	3.5	3	2.6667
	N	4	4	4	2	3	3
"Gao,Zhiye:GEOL-1426-015-EARTH HISTORY"	Mean	3.5	2.75	2.5	3.25	2.75	3
	N	4	4	4	4	4	4
"Garcia,Arthur:BCMN-4393-001 & JOUR-4393-001-SPECIAL TOPICS (2132-1-0267)"	Mean	4.4	4	4.4	4	3.8	4.2
	N	5	5	5	5	5	5
"Garcia,Deborah:EXSA-0189-001-INTERCOLLEGIATE ATHLETICS"	Mean	4.8333	4.8333	4.8333	4.8333	4.8333	4.8333
	N	6	6	6	6	6	6
"Garcia,Emmanuel:SPAN-1441-006-BEGINNING SPANISH I"	Mean	3.6667	3.6667	3.3333	3.3333	3.6667	3.3333
	N	3	3	3	3	3	3
"Garcia,Emmanuel:SPAN-1441-018-BEGINNING SPANISH I"	Mean	4	3.5	4	4	3.75	3.5
	N	4	4	4	4	4	4
"Garcia,Emmanuel:SPAN-1442-010-BEGINNING SPANISH II"	Mean	4.5	4.1429	4.5714	4.4286	4.3333	4.1429
	N	6	7	7	7	6	7
"Garcia,Emmanuel:SPAN-2314-003-INTERMEDIATE SPANISH II"	Mean	4.25	4	4.25	4.25	4.3333	3.75
	N	4	4	4	4	3	4
"Garcia,Emmanuel:SPAN-2314-005-INTERMEDIATE SPANISH II"	Mean	4.5556	4.3333	4.6667	4	4.3333	4.2222
	N	9	9	9	9	9	9
"Garner,Angela:SPAN-2314-008-INTERMEDIATE SPANISH II"	Mean	4.6667	4.0769	4.2308	4.3846	4.1667	4.3077
	N	12	13	13	13	12	13
"Garner,Angela:SPAN-2314-009-INTERMEDIATE SPANISH II"	Mean	4.1429	3.7143	3.8571	4	4	3.8571
	N	7	7	7	7	7	7
"Garner,Douglas:EXSA-0159-001-EXERCISE/SPORT FOR HANDICAPPED"	Mean	5	5	5	5	5	5
	N	2	2	2	2	2	2
"Garner,Rebecca:EXSA-1247-001-EXERCISE & WEIGHT MANAGEMENT"	Mean	4.7857	4.6429	4.7857	4.7143	4.6667	4.7857
	N	14	14	14	14	12	14
"Garner,Tyler:UNIV-1131-005-ISSUES IN COLLEGE ADJUSTMENT"	Mean	3	2	3	3	3	3
	N	1	1	1	1	1	1
"Garrett,Bryan:HIST-1311-010-HISTORY OF U.S."	Mean	4	2	2	4	4	3
	N	1	1	1	1	1	1
"Garrigus,John:HIST-4369-001-CARIBBEAN HIST"	Mean	4.6667	4.5556	4.7778	4.7778	4.125	4.5556
	N	9	9	9	9	8	9
"Garrigus,John:HIST-5313-001-REG/TOP EURO/LTN AM/AFRI HIST"	Mean	4.5556	4.4444	4.6667	4.7778	4.6667	4.8889
	N	9	9	9	9	9	9
"Garza-Garcia,Lizabeth:BEEP-4384-001-LIT METHODS ESL/BILING CLSRMS"	Mean	2.3077	3.4615	2.8462	2.9231	2	2.1538
	N	13	13	13	13	13	13
"Gatchel,Robert:PSYC-5112-001-PROFESSIONAL DEVELOPMENT II"	Mean	4.3333	4	4	4.5	3.5	4
	N	6	6	6	6	6	6
"Gauntt,Sarah:MATH-1302-502-COLLEGE ALGEBRA"	Mean	3.6667	3.3333	3.3333	3.3333	3.5	3.3333
	N	3	3	3	3	2	3
"Gaupp,Andrew:THEA-3340-001-MOVEMENT PERF I: FUNDAMENTALS"	Mean	4.4	4.2	4.2	4.8	4.75	4.8
	N	5	5	5	5	4	5
"Gaupp,Andrew:THEA-4302-001-STAGE MGMT / THEA ADMIN"	Mean	4.5	4	4	4.4167	4.25	4.25
	N	12	12	12	12	12	12
"Gaupp,Natalie:THEA-2352-001-ACTING II: SCENE STUDY"	Mean	5	5	5	5	5	5
	N	3	3	3	3	3	3
"Gaupp,Natalie:THEA-2352-101-ACTING II: SCENE STUDY"	Mean	5	5	5	5	5	5
	N	2	2	2	2	2	2
"Gaupp,Natalie:THEA-3320-001-PLAYWRITING"	Mean	4.8571	4.7143	4.7143	4.8571	4.6667	4.8333
	N	7	7	7	7	6	6
"Gay,Wayne:ENGL-2303-009-TOPICS IN LIT"	Mean	4.7	4.5	4.7	4.9	4.7	5
	N	10	10	10	10	10	10
"Gay,Wayne:ENGL-2329-010-AMERICAN LITERATURE"	Mean	4.9091	4.6364	4.7273	4.9	4.2727	4.8182
	N	11	11	11	10	11	11
"Gay,Wayne:ENGL-2329-017-AMERICAN LITERATURE"	Mean	4.8889	4.6667	5	4.8889	4.6667	4.8889
	N	9	9	9	9	9	9
"George,Beverly:MANA-2302-001-COMMUNICATIONS IN ORGANIZATION"	Mean	2.2	2.2	2.5	2.2	3.8	2.2222
	N	10	10	10	10	10	9
"George,Beverly:MANA-2302-002-COMMUNICATIONS IN ORGANIZATION"	Mean	4.5	4	4.5	4.5	4.5	4.25
	N	4	4	4	4	4	4
"George,Beverly:MANA-3319-001-MGT PROCESS THEORY"	Mean	4.4286	3.9286	4.7143	4.4286	4.4545	4.1429
	N	14	14	14	14	11	14
"George,Beverly:MANA-4340-001-BUS SOCIETY"	Mean	3.7273	3.4545	4.3636	4.2727	3.9091	3.3636
	N	11	11	11	11	11	11
"George,Beverly:MANA-4340-002-BUS SOCIETY"	Mean	3.5	3.75	3.75	3.75	3.5	3.75
	N	4	4	4	4	4	4
"George,Miranda:MUSIC PRIVATE LESSONS (2132-00104)"	Mean	4	4	4	4	4	4
	N	1	1	1	1	1	1
"Georgiou,Danielle:DNCA-0139-001-DANCE PERFORMANCE"	Mean	3.75	3.75	4	3.75	3.5	3.75
	N	4	4	4	4	4	4
"Gerlach,Jeanne:EDAD-6392-001-SEL TOP K-16 ED POLICY RES"	Mean	4.25	4.25	4.5	4.5	4.6667	4.25
	N	4	4	4	4	3	4
"Ghadimkhani,Ghazaleh:CHEM-2285-001-QUANTITATIVE CHEMISTRY LAB"	Mean	3.5	3.25	3.5	4.25	3.25	4
	N	4	4	4	4	4	4
"Ghandehari,Mostafa:CE-2312-001-STATICS/DYNAMICS NON-CE MAJORS"	Mean	4.5	4	4.75	4.75	4.75	4
	N	4	4	4	4	4	4
"Ghandehari,Mostafa:CE-2312-002-STATICS/DYNAMICS NON-CE MAJORS"	Mean	5	4.5	5	5	5	4.5
	N	2	2	2	2	2	2
"Ghandehari,Mostafa:CE-3301-001-STOCHASTIC MODELS FOR CE"	Mean	4.4545	4.5455	4.3636	4.8182	4.8182	4.9091
	N	11	11	11	11	11	11
"Ghandehari,Mostafa:CE-3310-001-CONSTRUCTION & VALUE ENGR"	Mean	4.8125	4.8125	4.8125	4.8125	4.8125	4.8125
	N	16	16	16	16	16	16
"Ghandehari,Mostafa:CSE-2315-002-DISCRETE STRUCTURES"	Mean	4.6	4.9	4.8	4.8	4.7778	4.8
	N	10	10	10	10	9	10
"Ghandehari,Mostafa:MATH-3315-001-MATHEMATICAL MODELS"	Mean	4.5789	4.5789	4.4211	4.6316	4.4444	4.5789
	N	19	19	19	19	18	19
"Ghimire,Manoj:GEOL-1425-014-EARTH SYSTEMS"	Mean	3.6	3.6	4.4	4.4	4	4
	N	5	5	5	5	4	5
"Ghimire,Manoj:GEOL-1425-018-EARTH SYSTEMS"	Mean	3.75	4	4	4	3.6667	3.75
	N	4	4	4	4	3	4
"Giammanco,Gina:HEED-2330-001 & KINE-2330-001-CARE AND PREVENTION OF ATHLETIC INJURIES"	Mean	4.9	4.8	4.5	4.8	4.7	4.8
	N	10	10	10	10	10	10
"Giampietro,Francis:ART-4373-001-ADV 3D STUDIES"	Mean	4.6667	4.6667	5	4.3333	4.6667	5
	N	3	3	2	3	3	3
"Gibbons,Jeffrey:ART-3341-002-SCULPTURE"	Mean	4	4.2	4.4	4.4	4.5	4.2
	N	5	5	5	5	4	5
"Gibbs,Ralph:EE-3310-001-DIGITAL LOGIC/MICROPROCESSOR 2"	Mean	4.2	3.25	3.8	3.4	3.8	3.4
	N	5	4	5	5	5	5
"Gibbs,Ralph:EE-3310-101-DIGITAL LOGIC/MICROPROCESSOR 2"	Mean	4	4	4	4	4	3
	N	1	1	1	1	1	1
"Gibbs,Ralph:EE-3310-102-DIGITAL LOGIC/MICROPROCESSOR 2"	Mean	4.25	4.25	4.5	4.5	4	3.75
	N	4	4	4	4	4	4
"Gintole,George:ARCH-4311-002 & ARCH-5311-002-ARCHITECTURAL THEORY"	Mean	3.75	3.75	3.875	4	3.625	3.875
	N	8	8	8	8	8	8
"Gintole,George:ARCH-4557-002-DESIGN STUDIO: ARCHITECTURE IV"	Mean	3.2	3.4	3.6	3.4	3.6	3.6
	N	5	5	5	5	5	5
"Glenn,Melissa:LIST-5385-005-DESIGNING LITERACY RESEARCH"	Mean	3.5455	3.5455	4.0909	3.7	4.2727	3.7273
	N	11	11	11	10	11	11
"Goad,Emily:MARK-3322-001-PERSONAL SELLING & SALES MGMT"	Mean	4.75	4.3333	4.3333	4.5833	4.5833	4.6667
	N	12	12	12	12	12	12
"Godeken,Sonja:MATH-0302-003-FUNDAMENTALS OF ALGEBRA"	Mean	5	5	5	5	5	5
	N	2	2	2	2	2	2
"Godeken,Sonja:MATH-1301-001-TOPICS CONTEMPORARY MATH"	Mean	4.4444	4.4231	4.4444	4.3333	4.3077	4.4615
	N	27	26	27	27	26	26
"Godeken,Sonja:MATH-1303-002-TRIGONOMETRY"	Mean	4.7813	4.8438	4.8125	4.875	4.7419	4.9375
	N	32	32	32	32	31	32
"Goerdel,Bethany:SCIE-1102-003-STEP 2: INQUIRY LESSON DESIGN"	Mean	4.2222	4.0556	4.1667	4.3333	4.5	4.2778
	N	18	18	18	18	18	18
"Goldberg,Joyce:HIST-1311-009-HISTORY OF U.S."	Mean	4.1667	3.8333	3.8	4.3333	4	3.3333
	N	6	6	5	6	6	6
"Goldberg,Joyce:HIST-3349-001-RECENT US DIPLO"	Mean	5	5	5	5	5	5
	N	2	2	2	2	2	2
"Gomez,Ricardo:CRCJ-2350-002-INTRO TO LAW ENFORCEMENT"	Mean	4.9231	4.8462	4.9231	4.9231	4.7692	4.9231
	N	13	13	13	13	13	13
"Gonzalez Parra,Gilberto:MATH-2326-001-CALCULUS III"	Mean	4.25	4.0833	4.25	4.0833	4.2727	4.0833
	N	12	12	12	12	11	12
"Goodson,Amy:HEED-3301-001 & KINE-5345-001-SPORTS NUTRITION (2132-1-0192)"	Mean	4.5789	4.5263	4.3158	4.5263	4.2632	4.6842
	N	19	19	19	19	19	19
"Goodwin,Rachel:MATH-1308-100/101/102/103-ELEM STATISTICAL ANALYSIS (2132-1-0143)"	Mean	4.3333	4.2258	4.0645	4.2258	4.2414	3.8387
	N	30	31	31	31	29	31
"Goodwin,Rachel:MATH-1315-002-COLLEGE ALGEBRA ECON/BUS ANLYS"	Mean	4.8333	4.6667	4.6667	4.8333	4.5	5
	N	6	6	6	6	6	6
"Goral,Pawel:HIST-1312-008-HISTORY OF U.S."	Mean	4.6667	4.3333	4.3333	4.3333	3.6667	3.6667
	N	3	3	3	3	3	3
"Goral,Pawel:HIST-2302-002-HIST OF CIVILIZATION"	Mean	4.5714	4.1429	4.4286	4.8571	4.6667	4.2857
	N	7	7	7	7	6	7
"Goral,Pawel:HIST-4384-001-EUROPE1917-2000"	Mean	4	3.875	4.25	4	3.7143	4.125
	N	8	8	8	8	7	8
"Gordon,Patsy:JOUR-1345-001-WRITING FOR MASS MEDIA"	Mean	5	4.5	4	5	5	5
	N	2	2	2	2	2	2
"Gordon,Patsy:JOUR-1345-003-WRITING FOR MASS MEDIA"	Mean	3	2.5	2.5	2	3	3
	N	2	2	2	2	2	2
"Gormus,Necmettin:FINA-3315-001-INVESTMENTS"	Mean	4.88	4.72	4.625	4.84	4.4583	4.84
	N	25	25	24	25	24	25
"Gormus,Necmettin:FINA-3315-003-INVESTMENTS"	Mean	5	5	4.8235	5	4.75	5
	N	17	17	17	17	16	17
"Gormus,Necmettin:FINA-4318-001-PORTFOLIO MGMT & SEC ANALYSIS"	Mean	4.6364	4.5909	4.6364	4.6818	4.619	4.8182
	N	22	22	22	22	21	22
"Gormus,Necmettin:REAE-3325-001-REAL ESTATE FUNDAMENTALS"	Mean	4.9444	4.8333	4.8889	4.7222	4.6667	4.8889
	N	18	18	18	18	18	18
"Gornet,Ruth:MATH-2425-200-CALCULUS II"	Mean	4.5	4.1563	4.2812	4.5313	4.5313	4.2903
	N	32	32	32	32	32	31
"Gornet,Ruth:MATH-5334-001-DIFFERENTIAL GEOMETRY"	Mean	4.8333	4.1667	4.3333	4	4.6667	4.8333
	N	6	6	6	6	6	6
"Gossett,James:ART-1305-002-TWO-DIMENSIONAL DESIGN"	Mean	4.6	4.6	5	4.8	4.8	4.6
	N	5	5	5	5	5	5
"Gough,Laura:BIOL-3310-031/032, CHEM-4392-031/032, GEOL-4305-031/032 and PHYS-4391-031/032-SELECTED TOPICS"	Mean	4.2	3.8	4.4	5	4.4	4.2
	N	5	5	5	5	5	5
"Gough,Laura:BIOL-5101-002-SPECIAL TOPICS IN BIOLOGY"	Mean	5	4.75	5	5	4.75	4.75
	N	4	4	4	4	4	4
"Govindaraju,Aruna:BIOL-1433-011-INTRODUCTION TO BIOLOGY I"	Mean	2.2857	2.2857	3	3	3.1667	2.1429
	N	7	7	7	7	6	7
"Govindaraju,Aruna:BIOL-1433-014-INTRODUCTION TO BIOLOGY I"	Mean	3.25	2.875	3.125	3.75	3.125	3.1667
	N	8	8	8	8	8	6
"Govindaraju,Aruna:BIOL-1441-018-CELL MOL BIOL"	Mean	2	2	3	5	5	2
	N	1	1	1	1	1	1
"Graham,Andrea:IE-3315-001-OPERATIONS RESEARCH I"	Mean	4.4	4.2	4.3	4	4.6	4.2
	N	10	10	10	10	10	10
"Graham,Andrea:IE-5342-001-METRICS AND MEASUREMENT"	Mean	4.9091	4.8182	4.6364	4.7273	4.8182	4.8182
	N	11	11	11	11	11	11
"Graham,Andrea:IE-5342-002-METRICS AND MEASUREMENT"	Mean	4	3		3	4	3
	N	1	1		1	1	1
"Graham,Lisa:ART-4347-001-PUBLICATION DESIGN"	Mean	4.8333	4.8333	4.8333	4.8333	4.8333	5
	N	6	6	6	6	6	6
"Graham,Lisa:ART-4355-001-VISUAL IDENTITY SYSTEMS"	Mean	5	4.5	5	4.75	4	4.75
	N	4	4	4	4	4	4
"Grantcharov,Dimitar:MATH-4321-001-ABSTRACT ALGEBRA II"	Mean	4.3333	4.1667	4.3333	4.5	4.5	4.3333
	N	6	6	6	6	6	6
"Grantcharov,Dimitar:MATH-5331-001-ABSTRACT ALGEBRA I"	Mean	4.8462	4.8462	4.7692	5	5	4.8462
	N	13	13	13	13	13	13
"Graves,Shannon:SOCW-3306-001-SW PRACTIC III"	Mean	4.4286	4.4286	4.8571	4.8571	4.7143	4.3333
	N	7	7	7	7	7	6
"Gray,Jennifer:NURS-5340-001-MANAGEMENT SEMINAR AND PRACTICE"	Mean	5	5	5	5	5	5
	N	5	5	5	5	5	5
"Gray,Jennifer:NURS-6310-001-PROPOSAL DEVELOPMENT SEMINAR (2132-24373)"	Mean	5	5	5	5	5	5
	N	4	4	4	4	4	4
"Green,Michelle:BIOL-2458-003-HUMAN ANATOMY & PHYSIOLOGY II"	Mean	4.6	4.4	4.6	4.6	4.6	4
	N	5	5	5	5	5	5
"Green,Michelle:BIOL-2458-007-HUMAN ANATOMY & PHYSIOLOGY II"	Mean	5	5	4.8889	4.8889	4.8889	4.8889
	N	9	9	9	9	9	9
"Greene,Richard:CIRP-5351-001-TECHNIQUES ENVR ASSESSMENT"	Mean	4.75	4.75	4.75	5	4.75	4.75
	N	4	4	4	4	4	4
"Greene,Richard:URPA-1301-001-INTRO URB LIFE"	Mean	5	5	5	5	4	5
	N	1	1	1	1	1	1
"Greer,Julienne:THEA-1342-003-THEATRE & FILM APPRECIATION"	Mean	4.5417	4.4167	4.4583	4.5417	4.2609	4.2917
	N	24	24	24	24	23	24
"Greer,Julienne:THEA-3311-001-VOCAL PERFORMANCE II: DIALECTS"	Mean	4.6	4	4.6	4.4	4.75	4.8
	N	5	5	5	5	4	5
"Greer,Julienne:THEA-3335-001-DANCE FOR THE ACTOR I"	Mean	4.625	4.625	4.625	4.5	4.5	4.75
	N	8	8	8	8	8	8
"Griffin,William:GEOL-2446-001-IGN / METAMORP PETROL & PETROG"	Mean	3.1667	2.3333	2.6364	3.5	3.5	2.5833
	N	12	12	11	12	8	12
"Griffis,John:MATH-1303-001-TRIGONOMETRY"	Mean	4.05	3.75	4.1579	4.15	4.3529	3.8
	N	20	20	19	20	17	20
"Griffis,John:MATH-1303-003-TRIGONOMETRY"	Mean	4	3.125	4.25	4.375	4.5714	3.625
	N	8	8	8	8	7	8
"Griffith,Cynthia:CHEM-1441-103-GENERAL CHEMISTRY I"	Mean	4.7	4.6	4.6	4.5	4.4444	4.7
	N	10	10	10	10	9	10
"Griffith,Cynthia:CHEM-1441-111-GENERAL CHEMISTRY I"	Mean	4.9	4.8	4.7	4.3	4.6667	4.8
	N	10	10	10	10	9	10
"Griffith,William:GEOL-3443-001-STRUCTURAL GEOLOGY"	Mean	4.7917	4.625	4.7917	4.7083	4.625	4.75
	N	24	24	24	24	24	24
"Grisaffe,Douglas:MARK-3321-001-PRINCIPLES OF MARKETING"	Mean	4.8	4.8	4.8	5	5	5
	N	5	5	5	5	4	5
"Grisaffe,Douglas:MARK-5343-001-ADVANCED RESEARCH ANALYSIS I"	Mean	5	5	5	5	5	5
	N	2	2	2	2	2	2
"Grisaffe,Douglas:MARK-5344-001-ADVANCED RESEARCH ANALYSIS II"	Mean	5	4.3333	5	5	5	5
	N	3	3	3	3	3	3
"Grodach,Carl:CIRP-5306-002-URBAN REVITALIZATION"	Mean	4.5	4.5	4.5	4.5	4.5	4.5
	N	2	2	2	2	2	2
"Grodach,Carl:CIRP-5324-001 & URPA-5313-001-COMMUNITY DEVELOPMENT"	Mean	5	5	5	5	5	5
	N	2	2	2	2	2	2
"Grogan,David:MUSIC PRIVATE LESSONS (2132-00004)"	Mean	4.8	4.8	4.8	4.8	4.8	4.8
	N	5	5	5	5	5	5
"Grover,James:BIOL-3356-001 / EVSE-5309-001-ENVIRONMENTAL SYSTEMS-BIOLOGICAL ASPECTS"	Mean	4.3846	3.7692	4.0769	4.4615	4.25	4
	N	13	13	13	13	12	13
"Guarneri-White,Maria:PSYC-3310-001-DEVELOPMENTAL PSYCHOLOGY"	Mean	4.3714	4.2857	4.2286	4.3429	4.2188	4.2857
	N	35	35	35	35	32	35
"Gustafson,Kevin:ENGL-4301-001-HIST ENGL LANG"	Mean	5	5	4	5	5	5
	N	1	1	1	1	1	1
"Gustafson,Kevin:HONR-2111-001-HONORS COMM SERVICE LEARNING"	Mean		5	5	5	5	5
	N		1	1	1	1	1
"Gutierrez,Jose:POLS-2312-007-STATE & LOCAL GOVT"	Mean	3.8889	3.1667	3.5	4	3.3889	3.2222
	N	18	18	18	18	18	18
"Gutierrez,Jose:POLS-4317-001-ETHNIC GPPOLITS"	Mean	3.7857	3.8571	4	3.5	4.2308	4.1429
	N	14	14	14	14	13	14
"Gutierrez,Jose:POLS-5380-001-TP: U.S. NATIONAL POLITICS"	Mean	4.2857	4.1429	4.4286	4.5714	4.1429	4.5714
	N	7	7	7	7	7	7
"Hadavand,Haleh:PHYS-1442-003-GENERAL COLLEGE PHYSICS II"	Mean	4	3	4.1429	4.2857	4	3.1429
	N	7	7	7	7	3	7
"Haji-Sheikh,Abdolhossein:MAE-3309-002-THERMAL ENGINEERING"	Mean	2.5714	2.1429	2.5714	3	2.8	1.8333
	N	7	7	7	7	5	6
"Haji-Sheikh,Abdolhossein:MAE-3311-001-THERMODYNAMICS II"	Mean	2.6	1.5	2.1	2.4	2.6667	1.4
	N	10	10	10	10	9	10
"Haji-Sheikh,Abdolhossein:ME-5317-001-CONVECTION HEAT TRANSFER"	Mean	3.4444	3.4444	3.6667	4	4	3.375
	N	9	9	9	9	8	8
"Haji-Sheikh,Abdolhossein:ME-5317-002-CONVECTION HEAT TRANSFER"	Mean	1	1	1	1	3	1
	N	1	1	1	1	1	1
"Hale,Gregory:SCIE-3301-007-PHYSICAL SCIENCE - PHYSICS"	Mean	4.6667	5	5	5	5	5
	N	3	3	3	3	2	3
"Hale,Gregory:SCIE-5356-001-PRINCIPLES OF CHEMISTRY II"	Mean	4.3333	3	4.3333	3.6667	4.6667	3.3333
	N	3	3	3	3	3	3
"Hall,Alexander:BIOL-3454-002-GENERAL ZOOLOGY"	Mean	4.5	4.25	4.5	4.625	4.5	4.375
	N	8	8	8	8	8	8
"Hall,Alexander:BIOL-3454-004-GENERAL ZOOLOGY"	Mean	4.6923	4.4615	4.6154	4.8462	4.7692	4.6923
	N	13	13	13	13	13	13
"Hall,Bethane:ACCT-3315-001-PRINCIPLES OF FED INCOME TAX"	Mean	4	3.7778	3.8889	4.4444	3.625	3.3333
	N	9	9	9	9	8	9
"Hall,Bethane:ACCT-5314-001-PRINCIPLES FED INCOME TAX"	Mean	4	4.2	4.4	4.6	3.8	4
	N	5	5	5	5	5	5
"Hall,Bethane:ACCT-5340-001-ENTITY TAXATION"	Mean	4.3333	4.3333	4.6667	4.8333	4.6667	4.3333
	N	6	6	6	6	6	6
"Hall,Thomas:ACCT-3312-001-FINANCIAL ACCOUNTING II"	Mean	4.8571	4.4286	4.5714	4.8571	4.8571	4.2857
	N	7	7	7	7	7	7
"Hall,Thomas:ACCT-5312-001-FINANCIAL ACCOUNTING II"	Mean	4.8	4.8	4.6	5	4	4.8
	N	5	5	5	5	4	5
"Hamann,Darla:URPA-5351-003-PUBLIC HUMAN RESOURCES"	Mean	4.3333	4.6667	4.6667	4.6667	4.6667	4.6667
	N	3	3	3	3	3	3
"Hamann,Darla:URPA-5358-003-ETHICS IN THE PUBLIC SERVICE"	Mean	4.5	4	4.5	5	4.9	4.4
	N	10	10	10	10	10	10
"Hamby,Tyler:PSYC-2444-002-RESEARCH DESIGN & STATS II"	Mean	3.75	3.25	3.125	4.125	4.5	3.25
	N	8	8	8	8	8	8
