Prof_Course		The instructor provided clearly defined expectations.	The instructor used teaching methods that facilitated my learning.	"The instructor encouraged me to take a role in my own learning, to ask questions, and to participate."	The instructor was well prepared to teach.	The instructor was available outside of class either electronically or in person.	The instructor is one whom I would recommend to other students.
"Beamon,Krystal:SOCI-3341-001-SOCIOLOGY OF SPORT"	Mean	4.7368	4.7895	4.8421	4.8333	4.6842	4.9474
	N	19	19	19	18	19	19
"Beamon,Krystal:SOCI-4310-001-MINORITIES"	Mean	4.6571	4.5714	4.4412	4.6286	4.3529	4.5429
	N	35	35	34	35	34	35
"Bechtel,Rudy:ADVT-3304-001-STRATEGIC COMMUNICATION I"	Mean	2.8235	3.2941	4.1176	3	3.7059	3.3529
	N	17	17	17	17	17	17
"Bechtel,Rudy:ADVT-3304-002-STRATEGIC COMMUNICATION I"	Mean	3.2353	3.3529	4	3.5882	4	3.5882
	N	17	17	17	17	16	17
"Bechtel,Rudy:ADVT-4301-001-ADVERTISING / IMC CAMPAIGNS"	Mean	3.8667	3.7143	3.9286	3.6429	4.0667	3.8
	N	15	14	14	14	15	15
"Beck,Don:ART-1306-001-THREE-DIMENSIONAL DESIGN"	Mean	4.8	4.7778	4.6	4.9	4.8	4.9
	N	10	9	10	10	10	10
"Beck,Patricia:ART-3359-001-EXPLORATION IN 3D STUDIO"	Mean	3.6667	3.4444	3.8889	3.8889	4.3333	4
	N	9	9	9	9	9	8
"Beck,Patricia:ART-4365-001-MULTIMEDIA COURSE DEVELOPMENT"	Mean	4.125	4	3.875	4	4.25	4
	N	8	8	8	8	8	7
"Been,Joshua:GEOL-4330-001-GEO INFORMATION SYSTEMS"	Mean	4.3636	4.0909	4.6364	4.3636	4.4	4.5
	N	11	11	11	11	10	10
"Been,Joshua:GEOL-5320-001-GEOGRAPHIC INFORMATION SYSTEMS"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Behan,Deborah:NURS-3321-001-NURSING RESEARCH"	Mean	3	3.2927	3.6905	3.8293	3.8571	3.381
	N	42	41	42	41	42	42
"Behan,Deborah:NURS-4325-072-RN-BSN NURSING RESEARCH"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Behan,Deborah:NURS-4325-201-RN-BSN NURSING RESEARCH (2102-21954)"	Mean	3.931	3.7931	4.129	4.2667	4.069	3.6774
	N	29	29	31	30	29	31
"Behbehani,Khosrow:BE-5366-001-PROCESS CONTROL IN BIOTECH"	Mean	5	5	5	4.8333	5	5
	N	6	6	6	6	6	6
"Bell,Bradley:ARCH-4395-004-SELECTED TOPICS ARCH"	Mean	4.4286	4	4.3333	3.8333	4	4
	N	7	6	6	6	6	6
"Bell,Bradley:ARCH-5670-003-ADVANCED DESIGN STUDIO"	Mean	4	4.2	4.7	4.4444	4.2	4.5
	N	10	10	10	9	10	10
"Bell,Myrtle:MANA-4326-001-DIVERSITY IN ORGANIZATIONS"	Mean	4.5652	4.4348	4.6522	4.6087	4.5652	4.4348
	N	23	23	23	23	23	23
"Bell,Myrtle:MANA-4326-002-DIVERSITY IN ORGANIZATIONS"	Mean	4.5909	4.6364	4.6818	4.8182	4.7727	4.7273
	N	22	22	22	22	22	22
"Bellini,Rafaela:EXSA-0164-003-CARDIO KICKBOXING"	Mean	4.65	4.5	4.6842	4.6842	4.65	4.8235
	N	20	20	19	19	20	17
"Benabib-Nisenbaum,Miriam:BIOL-1333-001-INTRO BIOL"	Mean	2.6098	2	3	2.619	3.5476	1.9286
	N	41	42	42	42	42	42
"Benabib-Nisenbaum,Miriam:BIOL-5101-002-SPECIAL TOPICS IN BIOLOGY"	Mean	4.3333	4.6667	5	5	5	4.6667
	N	6	6	6	6	6	6
"Benero,Paul:ART-1301-001-ART APPRECIATION (2102-20121)"	Mean	4.3182	4.3077	4.2424	4.4531	3.9231	4.4242
	N	66	65	66	64	65	66
"Benson,George:MANA-5334-001-ORGANIZATION CONSULTING"	Mean	4.0385	4.0385	4.4615	4.3462	4.4231	4.04
	N	26	26	26	26	26	25
"Benson,George:MANA-5340-002-STRATEGIC HUMAN RESOURCE MNGMT"	Mean	4.2222	3.6296	4.3704	4.1481	4.6	4.2308
	N	27	27	27	27	25	26
"Bernard,David:BIOL-3345-001-HUMAN PHYSIOLOGY"	Mean	3.775	3.5897	4.2	4.375	4.225	3.5128
	N	40	39	40	40	40	39
"Bernard,David:BIOL-3442-001-PRINCIPLES ANIMAL PHYSIOLOGY"	Mean	3.9189	3.5946	4.1081	4.4054	4.1622	3.4865
	N	37	37	37	37	37	37
"Berning,Andrew:EDAD-5302-011-EDUC TECHNOLOGY PLANNING"	Mean	5	5	5	5	5	5
	N	3	3	3	3	3	3
"Berry,Nora:BEEP-4687-003-RESIDENCY IN EC-6 BILING CLSRM"	Mean	4.3333	4.5	4.3333	4.5	4.5	4.5
	N	6	6	6	6	6	6
"Betran,Esther:BIOL-4307-001-MOLECULAR EVOLUTION"	Mean	4.25	4	4.75	4.75	5	4.5
	N	4	4	4	4	4	4
"Betran,Esther:BIOL-5336-001-MOLECULAR EVOL"	Mean	4	3.8571	4.2857	4.7143	4.7143	4.2857
	N	7	7	7	7	7	7
"Bezboruah,Karabi:URPA-5350-001-INTRO TO PUBLIC ADMINISTRATION"	Mean	3.7143	4	4	3.7143	3.8571	3.5714
	N	7	7	7	7	7	7
"Bezboruah,Karabi:URPA-5355-001-NON-PROFIT INSTITUTIONS"	Mean	4	4	4.1429	4.2857	4.1429	4.4286
	N	7	7	7	7	7	7
"Bing,Robert:CRCJ-2334-002-INTRO CRJU SYS (2102-20994)"	Mean	4.1351	4.0256	4.3421	4.1026	4.1795	4.1316
	N	37	39	38	39	39	38
"Bing,Robert:CRCJ-2334-005-INTRO CRJU SYS"	Mean	3.375	3.25	3.25	3	3.375	3.125
	N	8	8	8	8	8	8
"Bing,Robert:CRCJ-4333-002-INSTIT CORRECT"	Mean	4.5882	4.4706	4.7778	4.5556	4.5	4.7059
	N	17	17	18	18	18	17
"Bishop,Linda:COMS-1301-012-FUNDAMENTALS OF SPEECH"	Mean	4.15	4.2	4.05	4.3	4.2105	3.9474
	N	20	20	20	20	19	19
"Bishop,Linda:COMS-3302-011-PROF & TECH COMM"	Mean	3.96	3.8	4.08	4.125	4	3.44
	N	25	25	25	24	24	25
"Bishop,Linda:COMS-3302-015-PROF & TECH COMM"	Mean	3.64	3.6	3.8	4.2	4.04	3.56
	N	25	25	25	25	25	25
"Bitenc,Sandra:ACCT-2302-001-PRINCIPLES OF ACCOUNTING II"	Mean	3.7692	3.4615	3.8462	3.7692	4	3.6154
	N	13	13	13	13	13	13
"Bitenc,Sandra:ACCT-2302-003-PRINCIPLES OF ACCOUNTING II"	Mean	4.1818	4.1515	4.1875	4.3125	4.1515	4.2121
	N	33	33	32	32	33	33
"Bitenc,Sandra:ACCT-4325-001-GOVERNMENTAL ACCOUNTING"	Mean	3.6667	3.4	3.5333	3.5333	3.8	3.4667
	N	15	15	15	15	15	15
"Bitenc,Sandra:ACCT-4325-002-GOVERNMENTAL ACCOUNTING"	Mean	4.2	3.7333	4.1333	3.5	4.4	3.7333
	N	15	15	15	14	15	15
"Bitenc,Sandra:ACCT-5320-001-GOVT & NONPROFIT ACCOUNTING"	Mean	3.0714	2.5714	3.2857	2.7857	3.6923	2.4615
	N	14	14	14	14	13	13
"Bitenc,Sandra:ACCT-5320-002-GOVT & NONPROFIT ACCOUNTING"	Mean	3.5652	3.5652	4.0435	3.6957	4	3.6522
	N	23	23	23	23	23	23
"Black,Beverly:SOCW-6343-001-VIOLENCE IN FAMILIES"	Mean	4.0526	4	4.2105	4.3158	3.8947	3.8947
	N	19	19	19	19	19	19
"Black,Beverly:SOCW-6343-002-VIOLENCE IN FAMILIES"	Mean	2.75	2.75	4.25	4.25	3.75	3.75
	N	4	4	4	4	4	4
"Black,Truman:PHYS-1402-001-PHYSICS FOR NON-SPECIALISTS II"	Mean	2.8	2.8462	3.4231	2.6923	3.32	2.8846
	N	25	26	26	26	25	26
"Black,Truman:PHYS-1443-004-GENERAL TECHNICAL PHYSICS I"	Mean	2.75	2.6071	3.2308	2.4286	3.25	2.5185
	N	28	28	26	28	28	27
"Black,Truman:PHYS-4117-001-INDIVIDUAL LEARNING SEMINAR"	Mean	4	4.3333	4.6667	4	4.3333	4.3333
	N	3	3	3	3	3	3
"Blackburn,Donald:ECON-3303-005-MONEY & BANKING"	Mean	4.1842	3.7632	4.2368	4.3421	4.1892	4.3158
	N	38	38	38	38	37	38
"Blaisdell,Teriann:ENGL-3373-005-TECH WRITING"	Mean	4.6842	4.5789	4.6316	4.6842	4.6842	4.6842
	N	19	19	19	19	19	19
"Blakeney,Amy:SOCW-5322-002-RESEARCH AND EVALUATION I"	Mean	4.4444	4.5833	4.5385	4.5769	4.7407	4.7692
	N	27	24	26	26	27	26
"Bland,Ronald:EDTC-5301-001-CUR APP OF TECH IN EDUC"	Mean	4.6875	4.5625	4.5625	4.6875	4.75	4.7333
	N	16	16	16	16	16	15
"Bland,Ronald:EDTC-5302-001-INTERNET IN EDUCATION"	Mean	3	3.3333	3.3333	3.3333	3	3.3333
	N	3	3	3	3	3	3
"Blount,April:COMS-1301-004-FUNDAMENTALS OF SPEECH"	Mean	4.7368	4.4211	4.2632	4.6842	4.5	4.7222
	N	19	19	19	19	18	18
"Boardman,Bonnie:IE-1104-001-INTRODUCTION TO ENGINEERING"	Mean	5	5	5	5	5	5
	N	2	2	2	2	2	2
"Boardman,Bonnie:IE-1105-001-INTRO TO ENGINEERING LAB"	Mean	4.8667	4.8667	4.7143	4.8571	4.7333	4.8571
	N	15	15	14	14	15	14
"Boardman,Bonnie:IE-4304-001-ENTERPRISE SYSTEMS"	Mean	4.5556	4.5556	4.5556	4.7778	4.4444	4.7778
	N	9	9	9	9	9	9
"Boardman,Bonnie:IE-5312-001-PLANNING & CNTRL OF ENTERP SYS"	Mean	4.4667	4.1333	4.3333	4.3333	4.2667	4.2143
	N	15	15	15	15	15	14
"Boardman,Bonnie:IE-5312-002-PLANNING & CNTRL OF ENTERP SYS"	Mean	4.5	4.5	4.5	4.5	3.75	4.5
	N	4	4	4	4	4	4
"Boardman,Bonnie:IE-5342-001-METRICS AND MEASUREMENT (2102-22288)"	Mean	3.9167	3.7857	3.5385	3.9231	3.4615	3.6154
	N	12	14	13	13	13	13
"Boardman,Bonnie:IE-5342-002-METRICS AND MEASUREMENT (2102-22289)"	Mean	4.5	4.25	4.25	4.75	3.75	4
	N	4	4	4	4	4	4
"Bogard,Rickey:MUSI-2249-001-PRIVATE LESSONS IN BRASS"	Mean	5	5	5	5	5	5
	N	2	2	2	2	2	2
"Bogard,Rickey:MUSI-3249-001-PRIVATE LESSONS IN BRASS"	Mean	5	5	5	5	5	5
	N	3	2	3	3	3	3
"Bogard,Rickey:MUSI-3358-001-PRIVATE LESSONS IN BRASS"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Bogard,Rickey:MUSI-3359-001-PRIVATE LESSONS IN BRASS"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Bogard,Rickey:MUSI-4248-001-PRIVATE LESSONS IN BRASS"	Mean	4	5	5	4	5	5
	N	1	1	1	1	1	1
"Bogard,Rickey:MUSI-4249-001-PRIVATE LESSONS IN BRASS"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Bogard,Rickey:MUSI-5136-001-PRIVATE LESSONS IN TRUMPET"	Mean	4	5	5	5	5	5
	N	1	1	1	1	1	1
"Bold,Lashaunn:SOCW-5310-003-MICRO-MACRO PRACT FIELD SEM"	Mean	4.0625	4.125	4.6875	4.3125	4.6	4.2667
	N	16	16	16	16	15	15
"Boles,Rebecca:INTD-3321-001-INTERIOR MATERIALS I"	Mean	3.75	3.875	4	3.875	4.5	4.375
	N	8	8	8	8	8	8
"Boles,Rebecca:INTD-3555-001-DESIGN STUDIO: INTR DSGN II"	Mean	4	3.6667	4.1111	3.7778	4	4
	N	9	9	9	9	9	9
"Bond,Elson:ENGL-3371-002-ADV EXPOSITION"	Mean	3.1667	3.3333	3.6667	3	3.3333	2.8571
	N	6	6	6	6	6	7
"Bond,Elson:ENGL-3373-007-TECH WRITING"	Mean	2.4667	2.8	2.7333	2.6	2.6667	2.2
	N	15	15	15	15	15	15
"Bond,Elson:ENGL-3373-008-TECH WRITING"	Mean	3.6	3.8	4.15	3.7	3.85	3.6
	N	20	20	20	20	20	20
"Bond,Elson:ENGL-3373-010-TECH WRITING"	Mean	3.3571	3.7143	4.2308	3.7143	3.7143	3.6429
	N	14	14	13	14	14	14
"Boswell,Bill:ARCH-3554-003-DESIGN STUDIO: ARCHITECTURE II"	Mean	4	3.8889	4.4	4.4	3.8889	3.4
	N	10	9	10	10	9	10
"Bouie,Ruby:SOCW-5304-002-GENERALIST MICRO PRACTICE"	Mean	4.76	4.84	4.76	4.88	4.72	4.7917
	N	25	25	25	25	25	24
"Bowling,Alan:MAE-4301-003-SPEC TOPICS MECH & AERO ENGR"	Mean	3	2.3333	4.6667	3	4.6667	2.3333
	N	3	3	3	3	3	3
"Bowling,Alan:ME-5390-001-SPEC TOPICS MECH ENGR"	Mean	4.6	4.6	4.75	4.75	5	5
	N	5	5	4	4	4	5
"Boyas,Javier:SOCW-5317-001-HUMAN BEHAVIOR & DIVERSE POPS"	Mean	4.5	4.5556	4.7692	4.75	4.6429	4.6429
	N	28	27	26	28	28	28
"Boyd,Jeanean:NURS-3645-500-RN-BSN PROFESSIONAL NURSING"	Mean	4.2857	4.4286	4.7143	4.2857	4.4286	4.2857
	N	7	7	7	7	7	7
"Boyd,Jeanean:NURS-3645-501-RN-BSN PROFESSIONAL NURSING (2102-23438)"	Mean	4.6667	4.6667	4.6667	4.6667	4.6667	4.3333
	N	3	3	3	3	3	3
"Boyd,Jeanean:NURS-3645-502-RN-BSN PROFESSIONAL NURSING"	Mean	4.5455	4.5455	4.4545	4.4545	4.3636	4.4545
	N	11	11	11	11	11	11
"Boyd,Jeanean:NURS-3645-503-RN-BSN PROFESSIONAL NURSING"	Mean	4.4103	4.2821	4.3077	4.359	4.0769	4.3077
	N	39	39	39	39	39	39
"Boyea,Brent:POLS-2311-003-GOVT OF U S"	Mean	4.2778	3.9444	4.4054	4.6486	4.3784	4.0811
	N	36	36	37	37	37	37
"Boyea,Brent:POLS-5323-001-STATE COURT SYSTEMS"	Mean	4	3.375	4.4444	4.4444	4.5	3.7778
	N	9	8	9	9	8	9
"Brandt,Andrew:PHYS-3313-001-INTRODUCTION TO MODERN PHYSICS"	Mean	4.7059	4.4118	4.3529	4.6471	4.4706	4.7059
	N	17	17	17	17	17	17
"Bredow,Jonathan:EE-1104-001-INTRODUCTION TO ENGINEERING"	Mean	3.9474	3.8421	3.7895	4	3.5789	3.7222
	N	19	19	19	19	19	18
"Bredow,Jonathan:EE-1104-002-INTRODUCTION TO ENGINEERING"	Mean	4.3333	4	4.2	4.3333	4.1875	4
	N	15	15	15	15	16	15
"Bredow,Jonathan:EE-5367-001-WIRELESS SYSTEMS & PROPAGATION"	Mean	3.9	4.3636	4.3636	4.5455	4.1818	4.2
	N	10	11	11	11	11	10
"Breuer,Kimberly:HIST-1311-004-HISTORY OF U.S."	Mean	3.65	3.45	3.625	4.0789	4.1	3.3415
	N	40	40	40	38	40	41
"Breuer,Kimberly:HIST-1311-007-HISTORY OF U.S."	Mean	4.1395	3.9535	3.9767	4.381	4.3333	4.0465
	N	43	43	43	42	42	43
"Breuer,Kimberly:HIST-1312-012-HISTORY OF U.S."	Mean	4.4444	4.5	4.3889	4.2778	4.6111	4.3333
	N	18	18	18	18	18	18
"Brewster,Billy:ACCT-2301-002-PRINCIPLES OF ACCOUNTING I"	Mean	4.2812	4.1875	4.1515	4.3636	4.1515	4.0303
	N	32	32	33	33	33	33
"Brewster,Billy:ACCT-2301-003-PRINCIPLES OF ACCOUNTING I"	Mean	4.4063	4.0313	4.2813	4.4063	4.2813	4.0625
	N	32	32	32	32	32	32
"Brewster,Nesve:ECON-4321-001-INTERNATIONAL TRADE"	Mean	4.5517	4.1786	4.1724	4.5517	4.4643	4.2963
	N	29	28	29	29	28	27
"Brezeale,Darin:CSE-1310-001-INTRO COMPUTERS & PROGRAMMING"	Mean	4.8293	4.7561	4.7561	4.9024	4.7805	4.9268
	N	41	41	41	41	41	41
"Brezeale,Darin:CSE-1310-002-INTRO COMPUTERS & PROGRAMMING"	Mean	4.7407	4.7037	4.7241	4.7778	4.8276	4.8621
	N	27	27	29	27	29	29
"Briggs,Elten:MARK-3321-009-PRINCIPLES OF MARKETING"	Mean	4.2419	4.0164	4.1148	4.5	4.2097	4.1452
	N	62	61	61	62	62	62
"Briggs,Elten:MARK-3321-010-PRINCIPLES OF MARKETING"	Mean	4.1579	3.9351	4.0909	4.3816	4.1558	4.027
	N	76	77	77	76	77	74
"Brill,Jaimie:SOCW-5309-001-PROF FOUND OF SOCIAL WORK"	Mean	4.1429	4.4286	4.4286	3.8571	3.2857	4.4286
	N	7	7	7	7	7	7
"Brill,Jaimie:SOCW-6315-001-ADVANCED COMMUNITY PRACTICE"	Mean	4.5652	4.7391	4.913	4.4545	4.2273	4.7391
	N	23	23	23	22	22	23
"Brittain,Michael:ENGL-1302-049-CRITICAL THINK, READ, WRITE"	Mean	4.6471	4.8235	4.6471	4.6471	4.6471	4.8235
	N	17	17	17	17	17	17
"Brittain,Michael:ENGL-2329-012-AMERICAN LIT"	Mean	4.5	4.375	4.5652	4.6667	4.5417	4.7917
	N	24	24	23	24	24	24
"Broadway,Camille:JOUR-2346-001-REPORTING"	Mean	4.4211	3.9474	4.3684	4.4737	4.5263	3.6842
	N	19	19	19	19	19	19
"Broadway,Camille:JOUR-4327-001-OPINION & PERSUASIVE WRITING (2102-20109)"	Mean	4.3333	4.0833	4.5833	4.4167	4.4167	4.4167
	N	12	12	12	12	12	12
"Brown,Amber:ECED-4305-005-EC-6 LANG & LITERACY DEVEL"	Mean	4.1667	4.2105	4.4211	4.2105	4.2105	4.1111
	N	18	19	19	19	19	18
"Brown,Amber:ECED-5318-001-PROGRAMS & PRACTICES EC-6 EDUC"	Mean	3.7	3.5238	4	4.1429	4.381	3.5238
	N	20	21	19	21	21	21
"Brown,Bobbie:POLS-2311-007-GOVT OF U S"	Mean	4.4694	4.2449	4.2917	4.5745	4.1633	4.5833
	N	49	49	48	47	49	48
"Brown,James:CE-5356-002-SURFACE WATER QUALITY MODELING"	Mean	4	3.5	4	4	4	4.5
	N	2	2	2	2	2	2
"Brown,Nathan:ENGL-1302-020-CRITICAL THINK, READ, WRITE"	Mean	4.3077	4.3077	4.4615	4.3077	4.6923	4.3846
	N	13	13	13	13	13	13
"Brown,Nathan:ENGL-1302-025-CRITICAL THINK, READ, WRITE"	Mean	4.5625	4.6875	4.625	4.625	4.6875	4.6875
	N	16	16	16	16	16	16
"Brown,Terra:ACCT-3309-001-ACCOUNTING FOR MANAGERS"	Mean	4.5	4.431	4.4386	4.6207	4.6724	4.5965
	N	58	58	57	58	58	57
"Brown,Terra:ACCT-3309-003-ACCOUNTING FOR MANAGERS"	Mean	4.4565	4.2727	4.2826	4.5435	4.4222	4.4091
	N	46	44	46	46	45	44
"Brown,Terra:ACCT-3312-001-FINANCIAL ACCOUNTING II"	Mean	4.3077	4.1795	4.2051	4.5385	4.4615	4.1795
	N	39	39	39	39	39	39
"Brown,Terra:ACCT-3312-002-FINANCIAL ACCOUNTING II"	Mean	4.1481	3.8148	4.2143	4.4074	4.3929	3.8889
	N	27	27	28	27	28	27
"Browning,Ellen:BIOL-1333-002-INTRO BIOL"	Mean	4.3333	4.1667	4.0571	4.2778	4.0833	4.2857
	N	36	36	35	36	36	35
"Browning,Randall:CHEM-2322-003-ORGANIC CHEMISTRY"	Mean	4.6452	4.625	4.5937	4.7188	4.5625	4.6875
	N	31	32	32	32	32	32
"Brunskill,Shannon:ART-3340-001-KILN FORMED GLASS (2102-20164)"	Mean	4	4.3333	4.6667	4	4.6667	4
	N	3	3	3	3	3	3
"Bryant,Damon:PSYC-3302-001-BUSINESS PSYCHOLOGY"	Mean	4.3824	4.4412	4.2941	4.5882	4.4848	4.4848
	N	34	34	34	34	33	33
"Bubert,Dennis:MUSI-1248-003-PRIVATE LESSONS IN BRASS"	Mean	3	2	4	4	4	3
	N	1	1	1	1	1	1
"Bubert,Dennis:MUSI-1249-003-PRIVATE LESSONS IN BRASS"	Mean	4.5	3.75	4.4	5	4.2	5
	N	4	4	5	5	5	5
"Bubert,Dennis:MUSI-2249-003-PRIVATE LESSONS IN BRASS"	Mean	5	5	5	5	5	5
	N	2	2	2	2	2	2
"Bubert,Dennis:MUSI-3248-003-PRIVATE LESSONS IN BRASS"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Bubert,Dennis:MUSI-3249-003-PRIVATE LESSONS IN BRASS"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Bubert,Dennis:MUSI-4248-003-PRIVATE LESSONS IN BRASS"	Mean	5	4	5	4	4	5
	N	1	1	1	1	1	1
"Burgess-Jackson,Keith:PHIL-2312-001-ETHICS"	Mean	4.8333	4.8333	4.9167	4.9167	4.6667	4.75
	N	12	12	12	12	12	12
"Burgess-Jackson,Keith:PHIL-2312-002-ETHICS"	Mean	4.7059	4.5294	4.4706	4.7647	4.3529	4.5294
	N	17	17	17	17	17	17
"Burgess-Jackson,Keith:PHIL-3320-001-PHIL OF LAW"	Mean	4.3846	4.4231	4.3462	4.6538	4.5	4.5
	N	26	26	26	26	26	26
"Burke,Leeann:EDUC-5309-007-ADV INSTRUCTIONAL STRATEGIES"	Mean	4.5556	4.5556	4.6667	4.5556	4.4444	4.5556
	N	9	9	9	9	9	9
"Burke,Patricia:SOCW-6319-001-SOCIAL POL AND MENTAL HEALTH"	Mean	3.375	3.125	4	3.625	4.375	3.125
	N	8	8	8	8	8	8
"Burns,Megan:ART-1310-001-ART OF WEST II"	Mean	4.3333	3.7879	3.5455	4.4545	4.303	4.1515
	N	33	33	33	33	33	33
"Burns,Megan:ART-1310-002-ART OF WEST II"	Mean	4.5161	4.3548	4.1333	4.6452	4.3548	4.6129
	N	31	31	30	31	31	31
"Burton,John:MUSI-0126-006-STRING QUARTET (2102-24045)"	Mean	5	5	5	5	5	5
	N	3	3	3	3	3	3
"Burton,John:MUSI-0126-007-STRING QUARTET"	Mean	4.75	5	5	5	5	5
	N	4	3	4	4	4	4
"Butcher,Allan:POLS-3335-001-CRIMINAL LAW"	Mean	3.3704	3.04	3.9231	3.9615	3.5185	3.04
	N	27	25	26	26	27	25
"Butler,Donald:EE-2307-001-ELECTROMAGNETICS I (2102-24818)"	Mean	4.4091	3.9545	3.4091	4.5909	4.25	4.1818
	N	22	22	22	22	20	22
"Butler,Donald:EE-5349-001-TOPIC IN IC TECHNOLOGY"	Mean	4	4.25	4.75	5	5	5
	N	4	4	4	4	4	4
"Butler,Randall:CRCJ-2334-004-INTRO CRJU SYS"	Mean	4.2857	4	4.2857	4	3.7143	3.4286
	N	7	7	7	7	7	7
"Butler,Randall:CRCJ-5318-001-CRJU PERS ADMIN"	Mean	4.32	4.2609	4.1667	4.3333	4.4167	4.2917
	N	25	23	24	24	24	24
"Butler,Randall:CRCJ-5319-001-ISSUES IN POLICING"	Mean	4.8	4.4	4.8	5	4.6	4.4
	N	5	5	5	5	5	5
"Butler,Yvonne:SOCW-4252-001-SW FIELD II SEM"	Mean	4.7059	4.6667	4.6667	4.7778	4.4444	4.8333
	N	17	18	18	18	18	18
"Butler,Yvonne:SOCW-5317-003-HUMAN BEHAVIOR & DIVERSE POPS"	Mean	4.6	4.68	4.84	4.96	4.76	4.68
	N	25	25	25	25	25	25
"Butts,Marcus:MANA-3318-005-MANA ORG BEHAV"	Mean	4.5455	4.4727	4.4909	4.6604	4.5455	4.6296
	N	55	55	55	53	55	54
"Butts,Marcus:MANA-3318-010-MANA ORG BEHAV"	Mean	4.8421	4.6316	4.6053	4.7895	4.5526	4.7895
	N	38	38	38	38	38	38
"Byrd,Miriam:PHIL-2300-001-INTRO TO PHIL"	Mean	4.0312	3.875	4.0313	4.4375	4.25	3.9355
	N	32	32	32	32	32	31
"Byrd,Miriam:PHIL-2300-002-INTRO TO PHIL"	Mean	4.3333	4.3333	4.4815	4.5926	4.6667	4.5185
	N	27	27	27	27	27	27
"Byrd,Miriam:PHIL-4388-001-TOPICS HIST PH"	Mean	4.5556	4.5556	4.6667	4.5556	4.7778	4.6667
	N	9	9	9	9	9	9
"Cabrera,Thelma:SPAN-2313-005-INTERMEDIATE SPANISH I"	Mean	3.9583	3.7083	3.913	4.1667	3.5652	3.5833
	N	24	24	23	24	23	24
"Cabrera,Thelma:SPAN-2313-008-INTERMEDIATE SPANISH I"	Mean	4.7778	4.7778	4.8889	4.7778	4.7778	4.6667
	N	9	9	9	9	9	9
"Cagle,Carol:OPMA-3306-006-OPERATIONS MANAGEMENT"	Mean	3.7059	3.4412	3.9091	3.9143	4.2286	3.2857
	N	34	34	33	35	35	35
"Calhoun,Tisha:SOCW-6330-001-CHILD DEVELOPMENT"	Mean	3	3.25	4.75	3	4.25	2.6667
	N	4	4	4	4	4	3
"Callaghan,Michael:ANTH-1306-001-INTRO TO ANTHROPOLOGY"	Mean	4.6429	4.5714	4.561	4.8571	4.6429	4.7805
	N	42	42	41	42	42	41
"Callaghan,Michael:ANTH-2322-002-GLOBAL CULTURE"	Mean	4.8182	4.8261	4.7826	4.9565	4.7391	5
	N	22	23	23	23	23	22
"Caloss,Ronald:EDAD-6371-001-PERSONNEL & SCHOOL LAW"	Mean	4.9231	4.9231	4.9231	5	4.9231	4.9231
	N	13	13	13	13	13	13
"Camacho-Velazquez,Luis:EE-2347-001-COMPUTER METHODS FOR EE"	Mean	4.375	4.3125	4.2813	4.4688	4.5313	4.4688
	N	32	32	32	32	32	32
"Campbell,Darlene:MATH-0302-001-FUNDAMENTALS OF ALGEBRA"	Mean	3.3333	3.3333	3.3333	3.6667	2.6667	3.6667
	N	3	3	3	3	3	3
"Campbell,Darlene:MATH-1303-004-TRIGONOMETRY"	Mean	4.5152	4.4242	4.1515	4.5455	4.1515	4.2727
	N	33	33	33	33	33	33
"Campbell,Darlene:MATH-1303-005-TRIGONOMETRY"	Mean	4.3667	4.3667	4.125	4.5937	4.2258	4.4062
	N	30	30	32	32	31	32
"Campbell,Darlene:MATH-1322-003-PRECALCULUS I"	Mean	4.3103	4.0714	4.1379	4.6207	4.2414	4.0714
	N	29	28	29	29	29	28
"Campbell,Darlene:MATH-1322-004-PRECALCULUS I"	Mean	4.1852	3.9643	3.963	4.4231	4.1111	4
	N	27	28	27	26	27	26
"Campbell,Geoffrey:ADVT-3306-001-STRATEGIC COMMUNICATION II"	Mean	4.6667	4.6	4.6	4.8	4.6	4.7
	N	9	10	10	10	10	10
"Campbell,Geoffrey:ADVT-3306-002-STRATEGIC COMMUNICATION II"	Mean	4.6111	4.45	4.6316	4.65	4.5789	4.6316
	N	18	20	19	20	19	19
"Campbell,Geoffrey:JOUR-1345-006-WRITING FOR MASS MEDIA"	Mean	4.5333	4.3333	4.7333	4.5625	4.6875	4.5625
	N	15	15	15	16	16	16
"Campbell,Geoffrey:JOUR-1345-007-WRITING FOR MASS MEDIA"	Mean	4.8667	4.8125	5	4.9333	4.8125	5
	N	15	16	16	15	16	16
"Campbell,Jeremiah:EXSA-0184-007-WEIGHT TRAINING"	Mean	4.4286	4.2857	4.4286	4	4.4615	4.2
	N	14	14	14	14	13	15
"Campbell,Jeremiah:KINE-3315-002-PHYSIOLOGY OF EXERCISE"	Mean	4.5	4.5	4.5	4.6	4.6	4.6
	N	10	10	10	10	10	10
